,Unnamed: 0,Reference,Year,Compartment,Sample size,Country,Continent,Additive,Additive Abbrev,CAS Number,Additive function,Chemical class,Taxon,Species name,Biota Tissue,Stats,Concentration orig,Units,Polymer Composition,Factor conversion,Concentration in ug/g (ug/L for liquid),Concentration(ug/g),Common Additives,ConcentrationLog,Polymer Types,Polymers Number,Key Polymer,Bioacumulation factor
0,0,Barboza et al 2020,2018,Biota,50,Portugal,Europe,Bisphenol E,BPE,2081-08-05 00:00:00,Monomer/Oligomer,Bisphenol,Fish,European Bass,muscle,mean,0.022,ng/g,,1000.0,2.2e-05,2.2e-05,,-10.72446810460596,,,,
1,1,Barboza et al 2020,2018,Biota,50,Portugal,Europe,Bisphenol E,BPE,2081-08-05 00:00:00,Monomer/Oligomer,Bisphenol,Fish,Atlantic Horse Mackerel,muscle,mean,4.1,ng/g,,1000.0,0.004099999999999999,0.004099999999999999,,-5.496768305271875,,,,
2,2,Barboza et al 2020,2018,Biota,50,Portugal,Europe,Bisphenol E,BPE,2081-08-05 00:00:00,Monomer/Oligomer,Bisphenol,Fish,Atlantic Chub Mackerel,muscle,mean,0.5,ng/g,,1000.0,0.0005,0.0005,,-7.600902459542082,,,,
3,3,Barboza et al 2020,2018,Biota,150,Portugal,Europe,Bisphenol E,BPE,2081-08-05 00:00:00,Monomer/Oligomer,Bisphenol,Fish,all three species,muscle,mean,1.5,ng/g,,1000.0,0.0015,0.0015,,-6.502290170873972,,,,
4,4,Rani et al 2017,2014,Plastic,29,"Geoje, South Korea",Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light stabilizer,Benzotriazole UV Stabilizer,,,,mean,4.1,ug/g,"PP, PE, PET, PC, acrylic/styrene",1.0,4.1,4.1,,1.410986973710262,,,,
5,5,Tanaka et al 2019,2010 and 2015,Plastic,1,"Faroe Islands and Mukojima Island, Japan",Europe,Bumetrizole,UV326,3896-11-05 00:00:00,Light stabilizer,Benzotriazole UV Stabilizer,Seabird,northern fulmar,stomach,individual measurement,180.0,ug/g,PE,1.0,180.0,180.0,,5.19295685089021,,,,
6,6,Tanaka et al 2019,2010 and 2015,Plastic,1,"Faroe Islands and Mukojima Island, Japan",Europe,Bumetrizole,UV326,3896-11-05 00:00:00,Light stabilizer,Benzotriazole UV Stabilizer,Seabird,northern fulmar,stomach,individual measurement,23.0,ug/g,PE,1.0,23.0,23.0,,3.13549421592915,,,,
7,7,Tanaka et al 2019,2010 and 2015,Plastic,194,"Faroe Islands and Mukojima Island, Japan",Europe,Bumetrizole,UV326,3896-11-05 00:00:00,Light stabilizer,Benzotriazole UV Stabilizer,Seabird,"northern fulmar adults, black-footed and Laysan albatross chicks",stomach contents or boluses,mean,1.046391753,ug/g,PE and PP,1.0,1.046391753,1.046391753,,0.04534782038240007,,,,
8,8,Tanaka et al 2019,2010 and 2015,Plastic,194,"Faroe Islands and Mukojima Island, Japan",Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light stabilizer,Benzotriazole UV Stabilizer,Seabird,"northern fulmar adults, black-footed and Laysan albatross chicks",stomach contents or boluses,mean,1.046391753,ug/g,PE and PP,1.0,1.046391753,1.046391753,,0.04534782038240007,,,,
9,10,Jang et al 2023,2017-2018,Plastic,18,South Korea,Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light Stabilizer,Benzotriazole UV Stabilizer,,,,mean,0.58,ng/g,EPS,1000.0,0.00058,0.00058,,-7.45248245442381,,,,
10,11,Jang et al 2023,2017-2018,Plastic,19,South Korea,Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light Stabilizer,Benzotriazole UV Stabilizer,,,,mean,375.0,ng/g,PE,1000.0,0.375,0.375,,-0.9808292530117262,,,,
11,12,Jang et al 2023,2017-2018,Plastic,6,South Korea,Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light Stabilizer,Benzotriazole UV Stabilizer,,,,mean,27.8,ng/g,PP,1000.0,0.0278,0.0278,,-3.582719258285546,,,,
12,13,Jang et al 2023,2017-2018,Plastic,8,South Korea,Asia,Bumetrizole,UV326,3896-11-05 00:00:00,Light Stabilizer,Benzotriazole UV Stabilizer,,,,mean,0.68,ng/g,PET,1000.0,0.00068,0.00068,,-7.293417759794122,,,,
13,14,Kuhn et al 2018,2016,Plastic,6,"Texel Island, Netherlands",Europe,Palladium,Pd,7440-05-03 00:00:00,Unknown,Inorganic/Elemental,,,,mean,19.3,ug/g,"89% PE and PP, diverse mixture though",1.0,19.3,19.3,,2.96010509591084,,,,
14,15,Kuhn et al 2018,2016,Plastic,6,"Texel Island, Netherlands",Europe,Potassium,K,7440-09-07 00:00:00,Unknown,Inorganic/Elemental,,,,mean,392.8,ug/g,"89% PE and PP, diverse mixture though",1.0,392.8,392.8,,5.973300576480311,,,,
15,16,Prunier et al 2019,2014-2015,Plastic,13,,Pelagic,Potassium,K,7440-09-07 00:00:00,Unknown,Inorganic/Elemental,,,,mean,75.98538,ug/g,PE,1.0,75.98538,75.98538,,4.3305409533601,,,,
16,17,Prunier et al 2019,2014-2015,Plastic,4,,Pelagic,Potassium,K,7440-09-07 00:00:00,Unknown,Inorganic/Elemental,,,,mean,67.14,ug/g,PE,1.0,67.14,67.14,,4.206779991551889,,,,
17,18,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.83,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,1.83,1.83,,0.6043159668533296,,,,
18,19,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.63,mg/kg,"mix of PE, PP, PET possible",1.0,1.63,1.63,,0.4885800148186709,,,,
19,20,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.39,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.39,1.39,,0.3293037471426003,,,,
20,21,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.46,mg/kg,unknown,1.0,1.46,1.46,,0.378436435720245,,,,
21,22,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.33,mg/kg,"mix of PS, PUR, PEVA possible",1.0,2.33,2.33,,0.8458682675776092,,,,
22,23,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,3.82,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,3.82,3.82,,1.340250422618484,,,,
23,24,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.14,mg/kg,"mix of PE, PP, PET possible",1.0,1.14,1.14,,0.131028262406404,,,,
24,25,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.56,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.56,1.56,,0.4446858212614457,,,,
25,26,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.36,mg/kg,unknown,1.0,2.36,2.36,,0.8586616190375187,,,,
26,27,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.22,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,2.22,2.22,,0.7975071958841882,,,,
27,28,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.06,mg/kg,"mix of PE, PP, PET possible",1.0,1.06,1.06,,0.05826890812397582,,,,
